HR.info ID,Preferred Term,Country / Operation,Operation,Location - Taxonomy Term,"Address (free text to include building name/number, street & Postcode)",Address - Locality (i.e. City),Address - Administrative area (i.e. State / Province),Country,Phones,Email,Organization,Type,Notes
9265,Bureau Régional pour l'Afrique de l'Ouest et du Centre,"Nigeria, Afrique de l'Ouest et du Centre, Mali, Guinea, Mauritania, Tchad, Togo, Sierra Leone, Senegal, Liberia, Guinea Bissau, Ghana, Gambia, Cameroon, Burkina Faso, Benin, Níger, Democratic Republic of the Congo, République centrafricaine, Ivory Coast",25 - West and Central Africa,Senegal,"Sacre-Coeur 3, villa 9364  16 922","Fann, Dakar",,196 - Senegal,"+221 33 869 85 00
",ocharowca@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
16458,National Coordination,"Nigeria, Afrique de l'Ouest et du Centre",25 - West and Central Africa,Abuja Municipal,"No. 15 Mississippi Street Ministers Hill, Maitama ",Abuja,FCT,163 - Nigeria,,ochanigeria@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
16710,Dahuk,Iraq,2793 - Iraq,Dahuk,  ,,,106 - Iraq,,,,Coordination Hub,
16711,Erbil,Iraq,2793 - Iraq,Erbil,  ,Erbil,,106 - Iraq,,,,Coordination Hub,
16712,Al Sulaymaniyah,Iraq,2793 - Iraq,Al Sulaymaniyah,  ,Al Sulaymaniyah,,106 - Iraq,,,,Office,
16761,United Nations Office for Coordination of Humanitarian Affairs,occupied Palestinian territory,73 - occupied Palestinian territory,occupied Palestinian territory,Saint George Street  ,Jersualem,,170 - occupied Palestinian territory,"Work: 
+972 2-582-9962
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
16859,Baghdad,Iraq,2793 - Iraq,Baghdad,  ,,,106 - Iraq,,,,Coordination Hub,
17061,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Nablus,occupied Palestinian territory,73 - occupied Palestinian territory,occupied Palestinian territory,  ,Nablus,,170 - occupied Palestinian territory,"Work: 
+970 9 234 3606
, Fax: 
+970 9 234 3606
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
17062,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Ramallah,occupied Palestinian territory,73 - occupied Palestinian territory,occupied Palestinian territory,  ,Ramallah,,170 - occupied Palestinian territory,"Work: 
+970 2 297 4834
, Fax: 
+970 2 297 4834
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
17063,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Hebron,occupied Palestinian territory,73 - occupied Palestinian territory,occupied Palestinian territory,  ,Hebron,,170 - occupied Palestinian territory,"Work: 
+970 2 229 2114
, Fax: 
+970 2 229 2114
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
17064,Sub office of United Nations Office for Coordination of Humanitarian Affairs (OCHA) - Gaza,occupied Palestinian territory,73 - occupied Palestinian territory,occupied Palestinian territory,  ,,,170 - occupied Palestinian territory,"Work: 
+970 8 286 0074
, Fax: 
+970 8 282 0966
",ochaopt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
17081,Kirkuk,Iraq,2793 - Iraq,Kirkuk,  ,Kirkuk,,106 - Iraq,,,,Coordination Hub,
17891,Bambari,République centrafricaine,39 - République centrafricaine,Bambari,Ouaka  ,Bambari,,43 - Central African Republic,"+236 70 85 75 40
, +236 72 25 11 66
",mululuc@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
17893,Bangui,République centrafricaine,39 - République centrafricaine,Bangui,Bangui  ,Bangui,,43 - Central African Republic,"+236 70 46 46 64
",yakara@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
17894,Bossangoa,République centrafricaine,39 - République centrafricaine,Bossangoa,  ,Bossangoa,,43 - Central African Republic,"+236 70 00 96 07
",mboligassihe@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
17896,Bouar,République centrafricaine,39 - République centrafricaine,Bouar,  ,Bouar,,43 - Central African Republic,"+236 70 73 81 97
",kroning@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
17897,Kaga-Bandoro,République centrafricaine,39 - République centrafricaine,Kaga-Bandoro,  ,,,43 - Central African Republic,"+236 70 00 96 25
",simba@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
17898,Ndélé,République centrafricaine,39 - République centrafricaine,Ndélé,  ,Ndélé,,43 - Central African Republic,"+236 75 00 14 31
",lukemba@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
17899,Paoua,République centrafricaine,39 - République centrafricaine,Paoua,  ,Paoua,,43 - Central African Republic,"+236 70 85 75 42
",ajaruvwa@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21161,Beni,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Beni,"7, Rue Sivirwa, Quartier Résidentiel Commune de Bungulu ",Beni,,"52 - Congo, Democratic Republic of the","+243 992 906 658
, Work: 
+882 16 6700 0353
",arunaa@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21162,Bukavu,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Bukavu,"34/02, Avenue Lundula , Q. Muhumba Commune d’Ibanda ",Bukavu,,"52 - Congo, Democratic Republic of the","+243 970 003 766
, +882 16 6703 9441
",mehaule@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21163,Bunia,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Ituri,"Avenue de la Libération, Quartier Lumumba  ",Bunia,,"52 - Congo, Democratic Republic of the","+243 995 901 538
, +882 16 6703 9022
",giuliano@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21165,Goma,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Nord-Kivu,"6053, Avenue Kanyamuhanga Quartier le volcan P.O. Box. 14 ",Goma,,"52 - Congo, Democratic Republic of the","+243 971 015 444
, Work: 
+882 16 6700 2287
",inganji@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21166,Kalemie,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Kalemie,Kalemie  ,Kalemie,,"52 - Congo, Democratic Republic of the","+243 992 906 284
, Work: 
+882 16 6700 1000
",mwanakasala@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21167,Kindu,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Kindu,Kindu  ,Kindu,,"52 - Congo, Democratic Republic of the","Work: 
+243 817 061 215
, +882 16 6700 2979
",guelnoudji@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21168,Kinshasa,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Kinshasa,"6194, Boulevard du 30 Juin, Immeuble Losonia; Commune de la Gombe 7248 Kin1",Kinshasa,,"52 - Congo, Democratic Republic of the","Work: 
+243 999 986 489
, Work: 
+243 995 901 549
",ochadrc@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21169,Kisangani,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Kisangani,"34, Avenue General Mulamba, Commune de Makiso  ",Kisangani,,"52 - Congo, Democratic Republic of the","Work: 
+243 812 677 060
, +882 16 6700 0976
",kalenga@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21170,Lubumbashi,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Lubumbashi,"1854, avenue Kapenda  ",Lubumbashi,,"52 - Congo, Democratic Republic of the","+243 817 061 223
, +243 970 003 776
",beye@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21171,Shabunda,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Shabunda,Shabunda  ,Shabunda,,"52 - Congo, Democratic Republic of the","+882 16 6700 2739
, Work: 
+243 998 891 489
",mbilizi@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21172,Uvira,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Uvira,Uvira  ,Uvira,,"52 - Congo, Democratic Republic of the","+882 16 6700 0356
, Work: 
+243 817 061 251
",djedi@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
21173,Walikale,Democratic Republic of the Congo,40 - Democratic Republic of Congo,Walikale,Walikale  ,Walikale,,"52 - Congo, Democratic Republic of the","+243 995 901 527
, Work: 
+882 16 6703 9723
",matetea@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22251,Central Highland,Afghanistan,82 - Afghanistan,Bamyan,Central Highland  ,,,1 - Afghanistan,,alii@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22252,Central Region,Afghanistan,82 - Afghanistan,Kabul,Central Region  ,Kabul,,1 - Afghanistan,,Siraj1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22253,Eastern Region,Afghanistan,82 - Afghanistan,Nangarhar,Eastern Region  ,Jalalabad,,1 - Afghanistan,,chatora@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22254,National Level Coordination,Afghanistan,82 - Afghanistan,Kabul,Kabul  ,Kabul,,1 - Afghanistan,,parker@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22255,North Eastern Region,Afghanistan,82 - Afghanistan,Kunduz,North Eastern Region  ,Kunduz,,1 - Afghanistan,,shahimt@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22256,Northern Region,Afghanistan,82 - Afghanistan,Balkh,Northern Region  ,Mazar-i-Sharif,,1 - Afghanistan,,viehboeck@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22257,South Eastern Region,Afghanistan,82 - Afghanistan,Paktya,South Eastern Region  ,Gardez,,1 - Afghanistan,,Ahmadya@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22258,Southern Region,Afghanistan,82 - Afghanistan,Kandahar,Southern Region  ,Kandahar,,1 - Afghanistan,,bashirn@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22259,Western Region,Afghanistan,82 - Afghanistan,Hirat,Western Region  ,Hirat,,1 - Afghanistan,"+93 79 300 1117
",mugari@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
22260,Harare Office,Zimbabwe,60 - Zimbabwe,Harare,"Block 7, Arundel Office Park Mount Pleasant ",Harare,,248 - Zimbabwe,"+263 4 338 836
",ochazim@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
28361,OCHA Niger,Níger,37 - Niger,Niamey,267 rue des Dallois  11207,Niamey,,162 - Niger,"+227 20 72 64 01
",ochaniger@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
28785,Bamako,Mali,35 - Mali,Commune V,Badalabougou  ,Bamako,,137 - Mali,"+223 75 99 73 85
",kollies@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
28786,Gao,Mali,35 - Mali,Gao,Bureau Conjoint Chateau ,Gao,,137 - Mali,"+223 75 99 32 00
",kamanzi1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
28787,Mopti,Mali,35 - Mali,Mopti,Bureau conjoint Sévaré ,Mopti,,137 - Mali,"Mobile: 
+223 75 99 55 80
",ndayirukiye@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
28788,Tombouctou,Mali,35 - Mali,Tombouctou,Bureau conjoint  ,Tombouctou,,137 - Mali,"+223 75 32 27 39
",liade@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
28796,Port-au-Prince Office,Haiti,78 - Haiti,Haiti,"8, Impasse Demesvar, Delmas 60, Musseau  ",Port-au-Prince,,96 - Haiti,,ditaranto@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
33694,Bureau OCHA Côte d'Ivoire,Ivory Coast,29 - Ivory Coast,Côte d'Ivoire,Cocody Danga Villa 13  01 BP 1747,Abidjan,,55 - Côte d'Ivoire,"+222 22 48 44 00
",kats@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
33695,Ndjamena,Tchad,43 - Chad,N'Djamena,Rue du Capitaine Abdramane Mahamat Béchir  ,Ndjamena,,44 - Chad,"+235 66 90 75 83
",mehaule@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
33698,HAT Burkina Faso,"Burkina Faso, Afrique de l'Ouest et du Centre",25 - West and Central Africa,Burkina Faso,"Immeuble des Nations Unies, Koulouba secteur 4  01 BP 575",Ouagadougou,,36 - Burkina Faso,"+226 50 49 06 99
",ocha.bfa.im@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
33699,OCHA Guinée,Guinea,32 - Guinea,Guinea,Quartier Landreah Port Commune de Dixin BP 222,Conakry,,93 - Guinea,"+224 624 39 44 64
",tsekouras@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
33700,OCHA Libéria,Liberia,34 - Liberia,Montserrado,505A 5th Floor PAP Building Monrovia Liberia Sinkor 0,Monrovia,,126 - Liberia,"+231 770 180 350
",dufour@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Office,
33701,HAT Mauritanie,Mauritania,36 - Mauritanie,Mauritania,"Villa 181 ilot K, 35 rue 42-141 Tevragh-Zeina  ",Nouakchott,,141 - Mauritania,"+222 45 24 19 60
",mofiling@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37283,Emergency Management Cook Islands (EMCI),Cook Islands,1449 - Cook Islands,Cook Islands,Avarua  ,Rarotonnga,,53 - Cook Islands,"+682 29 609
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37284,Fiji National Disaster Management Office (NDMO),Fiji,1450 - Fiji,Fiji,1 Regional House Knolly Street ,Suva,,74 - Fiji,"+679 331 3400
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37285,FSM Office of Environment and Emergency Management (OoEEM),Federated States of Micronesia,1451 - Federated States of Micronesia,,  ,Palikir,Pohnpei,"145 - Micronesia, Federated States of","+691 320 8815
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37286,Kiribati National Disaster Management Office (NDMO),Kiribati,1452 - Kiribati,Kiribati,  ,Tarawa,,117 - Kiribati,"+686 21183
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37287,Marshall Islands National Disaster Management Office (NDMO),Marshall Islands,1453 - Marshall Islands,Marshall Islands,  96960,Majuro,,139 - Marshall Islands,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37288,Nauru National Disaster Risk Management (NDRM) Office,Nauru,1454 - Nauru,Nauru,Yaren District  ,,,155 - Nauru,"+674 557 3101
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37289,Palau National Emergency Management Office (NEMO),Palau,1456 - Palau,Palau,  96940,Koror,,169 - Palau,"+680 488 2249
",nemo@palaunet.com ,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37290,Samoa National Disaster Management Office (NDMO),Samoa,1457 - Samoa,Samoa,  ,Apia,,192 - Samoa,"+685 20856
",dmosamoa@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37291,Tonga National Emergency Management Office (NEMO),Tonga,1460 - Tonga,Tonga,Alaivaha'amama'o Bypass Road Vaololoa ,Nuku'alofa,,225 - Tonga,"+676 26-340
",tonganemo@gmail.com,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37292,Tuvalu National Disaster Management Office (NDMO),Tuvalu,1461 - Tuvalu,Tuvalu,Vaiaku Funafuti ,,,231 - Tuvalu,"+688 20342
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
37293,Vanuatu National Disaster Management Office (NDMO),Vanuatu,1462 - Vanuatu,Vanuatu,  ,Port-Vila,,240 - Vanuatu,"+678 22675
",,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
38035,Antakya,Turkey Cross-border,2788 - Turkey Cross-border,Turkey,  ,Antakya,,228 - Turkey,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
38036,Gaziantep,Turkey Cross-border,2788 - Turkey Cross-border,Turkey,  ,Gaziantep,,228 - Turkey,,,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
39800,Eldoret Hub,Kenya,66 - Kenya,Eldoret,  1,Eldoret,,116 - Kenya,,dickinsonl@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
39801,Garissa Hub,Kenya,66 - Kenya,Garissa,  1,Garissa,,116 - Kenya,"+254 732 500024
",nikolich@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
39802,Isiolo / Marsabit,Kenya,66 - Kenya,Isiolo,  1,Isiolo / Marsabit,,116 - Kenya,"+254 707 724610
",timothy.koskei@wfp.org,501 - World Food Programme,Office,
39803,Kisumu Hub,Kenya,66 - Kenya,Kisumu,  1,Kisumu,,116 - Kenya,"+254 708 989214
",mgwada@unicef.org,484 - United Nations Children's Fund,Office,
39804,Lodwar Hub,Kenya,66 - Kenya,Lodwar,  1,Lodwar,,116 - Kenya,"+254 701 796186
",lokaitomark@yahoo.com,,Office,
39805,Mombasa Hub,Kenya,66 - Kenya,Mombasa,  1,Mombasa,,116 - Kenya,"+254 707 724440
",Christine.Adiema@wfp.org ,501 - World Food Programme,Office,
39806,Nairobi Hub,Kenya,66 - Kenya,Nairobi,"Kaskazi Lane/Mpesi Lane Off Muthithi Road, Westlands  1",Nairobi,,116 - Kenya,"+254 710 344529
",hubnairobi@hotmail.com,453 - Concern Worldwide,Office,
39807,Nakuru Hub,Kenya,66 - Kenya,Nakuru,  1,Nakuru,,116 - Kenya,"+254 722 780914
",paul.mutinda@nrc.no,478 - Norwegian Refugee Council,Office,
41124,Abeche,Tchad,43 - Chad,Abéché,Region du Ouaddai  ,Abeche,,44 - Chad,"Mobile: 
+235 68 97 76 93
",arunaa@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
41125,Goré,Tchad,43 - Chad,Goré,Goré  ,Goré,,44 - Chad,"+235 66 90 46 32
",nsabiyeze@un.org ,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
41127,Mao,Tchad,43 - Chad,Mao,region du Kanem  ,Mao,,44 - Chad,"+235 66 20 16 53
",sonon@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
41128,Sarh,Tchad,43 - Chad,Sarh,Region du Moyen Chari  ,Sarh,,44 - Chad,"Work: 
+235 66 90 46 32
", nsabiyeze@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
47959,UNICEF office,Ukraine,43184 - Ukraine,Kyiv,5 Klovsky Uzviz  1021,Kyiv,,233 - Ukraine,"+380 44 230 2514
",kiev@unicef.org,484 - United Nations Children's Fund,Office,
48088,IOM ,Ukraine,43184 - Ukraine,Kyiv,8 Mykhailivska Street  1001,Kyiv,,233 - Ukraine,"+380 44 568 5015
",iomkievcomm@iom.int,473 - International Organization for Migration,Office,
48220,UNHCR Regional Office,Ukraine,43184 - Ukraine,Kyiv,"14, Lavrska St.  1015",Kyiv,,233 - Ukraine,"Work: 
+380 44 288 9710
",ukrki@unhcr.org,490 - United Nations High Commissioner for Refugees,Office,
48248,Aden Sub-Office,Yemen,75 - Yemen,Aden,Hoshi Mana street Beside German Cosulate. Khormaksar 2,Aden,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
48249,Haradh Sub-Office,Yemen,75 - Yemen,Haradh,  ,Haradh,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
48250,Sa'ada Sub-Office,Yemen,75 - Yemen,Sa'ada,  ,Sa'ada,,246 - Yemen,,yemen@humanitarianresponse.info,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
